CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1E_Income support,E1E_Flag,E1_Notes,E2E_Debt/contract relief,E2_Notes,E3E_Fiscal measures,E3_Notes,E4E_International support,E4_Notes,H1E_Public information campaigns,H1E_Flag,H1_Notes,H2E_Testing policy,H2_Notes,H3E_Contact tracing,H3_Notes,H4E_Emergency investment in healthcare,H4_Notes,H5E_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7E_Vaccination policy,H7E_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1E_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_NonVaccinated_ForDisplay,StringencyIndex_Vaccinated,StringencyIndex_Vaccinated_ForDisplay,StringencyIndex_SimpleAverage,StringencyIndex_SimpleAverage_ForDisplay,StringencyIndex_WeightedAverage,StringencyIndex_WeightedAverage_ForDisplay,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_NonVaccinated_ForDisplay,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_Vaccinated_ForDisplay,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_SimpleAverage_ForDisplay,GovernmentResponseIndex_WeightedAverage,GovernmentResponseIndex_WeightedAverage_ForDisplay,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_NonVaccinated_ForDisplay,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_Vaccinated_ForDisplay,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_SimpleAverage_ForDisplay,ContainmentHealthIndex_WeightedAverage,ContainmentHealthIndex_WeightedAverage_ForDisplay,EconomicSupportIndex,EconomicSupportIndex_ForDisplay
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210101,1.00,1,,,,,1.00,1,"The educational department of Anhui province and the Health Commission of Anhui province required all schools to carry out regular epidemic prevention and control in autumn and winter, including wearing masks, daily health report and so on.    https://web.archive.org/web/20210126033730if_/https://xw.qq.com/cmsid/20200823A0DHS700",1.00,1,,,,,1.00,1,"The state government recommended people to wear masks and keep social distance and hand desfection in working places. All people are required to show health code and measure body temperature when entering or leaving workplaces.     https://web.archive.org/web/20210125113001/http://www.ah.xinhuanet.com/2020-12/26/c_1126911070.htm",1.00,1,,,,,1.00,1,"The Health Commission of Anhui Province recommended to reduce public events during the New Year's Day and Spring Festival.    https://web.archive.org/web/20210125113001/http://www.ah.xinhuanet.com/2020-12/26/c_1126911070.htm",4.00,1,,,,,4.00,1,"The Health Commission of Anhui Province recommended family private gathering and dinner party to be controlled under 10 people from Dec 26, 2020.    https://web.archive.org/web/20210125113001/http://www.ah.xinhuanet.com/2020-12/26/c_1126911070.htm",0.00,,,,,,0.00,,"The state government recommended people to show health code and wear masks when taking public transport.    https://web.archive.org/web/20210125113001/http://www.ah.xinhuanet.com/2020-12/26/c_1126911070.htm  https://web.archive.org/web/20210126073742/https://new.qq.com/rain/a/20210108A0C9A700  https://web.archive.org/web/20210126074034/https://new.qq.com/rain/a/20210112a0chye00",0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,"The Hefei government recomended all staff of party and government organs, public institutions, and state-owned enterprises to reduce traveling and not to leave Hefei if unnecessary.     https://web.archive.org/web/20210126084450/https://new.qq.com/rain/a/20201227A0ANHM00",3.00,,,3.00,,0.00,,"From March to December 2020, unemployment benefits will be available to persons who meet the following conditions:  1. Unemployed personnel who have not been employed after the expiration of receiving unemployment insurance compensation;  2. The unemployed who do not meet the conditions for receiving unemployment insurance compensation but have participated the plan of unemployment insurance .  https://web.archive.org/web/20210319092423/https://k.sina.cn/article_3215153127_bfa357e702000pd79.html?from=news&subch=onews",1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,"A: Sinovac.    The free vaccination was provided in Anhui from Dec 29, 2020    https://web.archive.org/web/20210126121930/https://www.thepaper.cn/newsDetail_forward_10600201",2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,49.07,49.07,49.07,49.07,49.07,49.07,,,52.81,52.81,52.81,52.81,52.81,52.81,,,56.79,56.79,56.79,56.79,56.79,56.79,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210102,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,49.07,49.07,49.07,49.07,49.07,49.07,,,52.81,52.81,52.81,52.81,52.81,52.81,,,56.79,56.79,56.79,56.79,56.79,56.79,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210103,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,49.07,49.07,49.07,49.07,49.07,49.07,,,52.81,52.81,52.81,52.81,52.81,52.81,,,56.79,56.79,56.79,56.79,56.79,56.79,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210104,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,49.07,49.07,49.07,49.07,49.07,49.07,,,52.81,52.81,52.81,52.81,52.81,52.81,,,56.79,56.79,56.79,56.79,56.79,56.79,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210105,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,49.07,49.07,49.07,49.07,49.07,49.07,,,52.81,52.81,52.81,52.81,52.81,52.81,,,56.79,56.79,56.79,56.79,56.79,56.79,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210106,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,49.07,49.07,49.07,49.07,49.07,49.07,,,52.81,52.81,52.81,52.81,52.81,52.81,,,56.79,56.79,56.79,56.79,56.79,56.79,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210107,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,2.00,0,,,,,2.00,0,"Hefei closed public transport to and from Shijiangzhuang from Jan 7, 2021.     https://web.archive.org/web/20210126073742/https://new.qq.com/rain/a/20210108A0C9A700",3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,51.85,51.85,51.85,51.85,51.85,51.85,,,54.38,54.38,54.38,54.38,54.38,54.38,,,58.57,58.57,58.57,58.57,58.57,58.57,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210108,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,51.85,51.85,51.85,51.85,51.85,51.85,,,54.38,54.38,54.38,54.38,54.38,54.38,,,58.57,58.57,58.57,58.57,58.57,58.57,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210109,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,51.85,51.85,51.85,51.85,51.85,51.85,,,54.38,54.38,54.38,54.38,54.38,54.38,,,58.57,58.57,58.57,58.57,58.57,58.57,,,25.00,25.00
China,CHN,Anhui,CHN_AH,STATE_TOTAL,20210110,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,0,,,,,2.00,0,"The government of Hefei required to  cancel all public events from Jan 10, 2021.  The government of Bengbu required to  cancel all public events from Jan 12, 2021.  The government of Ma'anshan required to  cancel all public events from Jan 12, 2021.    https://web.archive.org/web/20210125104927/http://www.hfxf.gov.cn/tzgg/18006323.html  https://web.archive.org/web/20210125090750/https://baijiahao.baidu.com/s?id=1688740693483786267&wfr=spider&for=pc  https://web.archive.org/web/20210126035519/http://www.masys.gov.cn/ztlm/xxgzbdgrfyyqdtfkzt/18136521.html",4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,2.00,0,,,,,2.00,0,,3.00,,,3.00,,0.00,,,1.00,,0.00,,0.00,,2.00,1,,2.00,,2.00,,0.00,,0.00,,4.00,1,,,,,4.00,1,,1.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,2,1,5,,0,,993,6,Under 50%,54.63,54.63,54.63,54.63,54.63,54.63,,,55.94,55.94,55.94,55.94,55.94,55.94,,,60.36,60.36,60.36,60.36,60.36,60.36,,,25.00,25.00
