CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1E_Income support,E1E_Flag,E1_Notes,E2E_Debt/contract relief,E2_Notes,E3E_Fiscal measures,E3_Notes,E4E_International support,E4_Notes,H1E_Public information campaigns,H1E_Flag,H1_Notes,H2E_Testing policy,H2_Notes,H3E_Contact tracing,H3_Notes,H4E_Emergency investment in healthcare,H4_Notes,H5E_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7E_Vaccination policy,H7E_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1E_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_NonVaccinated_ForDisplay,StringencyIndex_Vaccinated,StringencyIndex_Vaccinated_ForDisplay,StringencyIndex_SimpleAverage,StringencyIndex_SimpleAverage_ForDisplay,StringencyIndex_WeightedAverage,StringencyIndex_WeightedAverage_ForDisplay,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_NonVaccinated_ForDisplay,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_Vaccinated_ForDisplay,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_SimpleAverage_ForDisplay,GovernmentResponseIndex_WeightedAverage,GovernmentResponseIndex_WeightedAverage_ForDisplay,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_NonVaccinated_ForDisplay,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_Vaccinated_ForDisplay,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_SimpleAverage_ForDisplay,ContainmentHealthIndex_WeightedAverage,ContainmentHealthIndex_WeightedAverage_ForDisplay,EconomicSupportIndex,EconomicSupportIndex_ForDisplay
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210101,1.00,1,,,,,1.00,1,"MHA order dated 28 Dec 2020  https://web.archive.org/web/20210429132106/https://pib.gov.in/PressReleseDetail.aspx?PRID=1684156  ""The Ministry of Home Affairs (MHA) issued an Order today to extend the earlier Guidelines for Surveillance to remain in force upto 31.01.2021.    While there has been a continuous decline in the active and new COVID-19 cases, there is need to maintain surveillance, containment and caution, keeping in view the surge in cases globally, and emergence of a new variant of the virus in the United Kingdom (UK).     Accordingly, Containment Zones continue to be demarcated carefully; prescribed containment measures strictly followed within these zones; COVID-appropriate behaviour promoted and strictly enforced; and the Standard Operating Procedures (SOPs) prescribed in respect of various permitted activities followed scrupulously.    Therefore, the focused approach on surveillance, containment and strict observance of the guidelines/ SOPs issued by MHA and Ministry of Health & Family Welfare (MOHFW), as envisaged in the Guidelines issued on 25.11.2020; need to be enforced strictly by States and UTs.""",1.00,1,,,,,1.00,1,"This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",1.00,1,,,,,1.00,1,"This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",2.00,1,,,,,2.00,1,"Cap is 100. This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",1.00,1,,,,,1.00,1,"This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",0.00,,,,,,0.00,,"No mention of specific requirements, however all offices, restaurants etc were allowed to stay open between 7:00 - 20:00 only.   This is according to order 262. Order 27 was issued in April 2021 which seems to be the point at which restrictions were introduced. Before that, the only available order is order number 262. It is therefore assumed that 262 was in effect until order 27 was introduced. See the site below for further details. https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",0.00,,,,,,0.00,,"not clear.   https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",3.00,,,3.00,,1.00,1,"Country-wide stimulus plan applicable to this region:  ""Farmers currently receive INR 6,000/- every year through the PM-KISAN scheme (minimum income support scheme) in three equal instalments. The government will now be giving the first instalment upfront for fiscal year starting April 2020. About 86.9 million farmers are expected to benefit from this immediately.  MNREGA workers: Wage increase from INR 182/- to INR 202/-. Such increase will benefit 50 million families. The wage increase will amount into an additional income of INR 2,000/- per worker.  30 million senior citizens, widows, disabled to get one-time ex-gratia amount of INR 1,000 in two instalments over the next 3 months.  200 million woman Jan Dhan account holders to be given ex-gratia amount of INR 500 per month for the next 3 months, to run the affairs of their household.  Women in 83 million families below poverty line covered under Ujwala scheme will get free LPG cylinders for 3 months.   For 630,000 Self-help Groups (SHGs), which help 70 million households, the government is doubling collateral-free loans to Rs 200,000.  State governments have been directed to use the welfare fund for building and construction workers. The District Mineral Fund, worth about INR 310 billion, will be used help those who are facing economic disruption because of the lockdown.""  Relief included for migrant workers.   Food benefits also included:  ""About two-thirds of population will be covered under the Pradhan Mantri Garib Kalyan Anna Yojana (Food scheme)  Everyone under this scheme will get 5 kg of wheat and rice for free in addition to the current 5 kg allocation for the next 3 months  In addition, 1 kg of preferred pulse (based on regional preference) will be given for free to each household under this Food scheme for the next three months.   This distribution will be done through Public Distribution Scheme (PDS) and can be availed in two instalments.""    https://web.archive.org/web/20230305104739/https://kpmg.com/xx/en/home/insights/2020/04/india-government-and-institution-measures-in-response-to-covid.html",2.00,,,,,,2.00,1,"Public health awareness posters and campaigns are coordinated by the UT administration. Example of poster attached.   https://web.archive.org/web/20211221091747/https://www.andaman.gov.in/admin-pannel/whatsnew/1-1041-posters.pdf",3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,"All orders require this.   https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",0.00,,"Data from the cowin dashboard shows that during this first few months of 2021, the focus was on key workers and clinically vulnerable groups.   https://web.archive.org/web/20210913122549/https://dashboard.cowin.gov.in/",3.00,1,,,,,3.00,1,"The order 262 mandates those at risk to stay at home unless they are moving around for emergencies or health purposes.   https://web.archive.org/web/20210913120723/https://nicobars.andaman.nic.in/past-notices/announcements/    ",,,0,"Vaccination started in India from 16th Jan 2021.",0,"Vaccination started in India from 16th Jan 2021.",,,,,,,0,"Vaccination started in India from 16th Jan 2021.",0,"Vaccination started in India from 16th Jan 2021.",4946,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210102,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4947,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210103,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4948,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210104,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4948,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210105,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4949,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210106,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4949,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210107,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4958,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210108,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4959,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210109,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4959,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
India,IND,Andaman and Nicobar Islands,IND_AN,STATE_TOTAL,20210110,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,1.00,1,,,,,1.00,1,,0.00,,,,,,0.00,,,0.00,,,,,,0.00,,,3.00,,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,,,3.00,1,,,,,3.00,1,,0.00,,,3.00,1,,,,,3.00,1,,,,0,,0,,,,,,,,0,,0,,4960,62,Under 50%,43.52,43.52,43.52,43.52,43.52,43.52,,,57.29,57.29,57.29,57.29,57.29,57.29,,,54.76,54.76,54.76,54.76,54.76,54.76,,,75.00,75.00
